Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"Vreftrim","VBIAS_VALUE_CODE16",180180,"Parametric","",0,3,"V",1.61606,1.63319,1.62293,0.00795538,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE17",180190,"Parametric","",0,3,"V",1.63297,1.65044,1.64007,0.00805203,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE18",180200,"Parametric","",0,3,"V",1.64976,1.66757,1.65712,0.00818776,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE19",180210,"Parametric","",0,3,"V",1.66689,1.68521,1.67428,0.00842782,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE20",180220,"Parametric","",0,3,"V",1.68413,1.70314,1.692,0.00849067,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE21",180230,"Parametric","",0,3,"V",1.70115,1.71999,1.70907,0.00844425,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE22",180240,"Parametric","",0,3,"V",1.71828,1.73775,1.72634,0.00872883,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE23",180250,"Parametric","",0,3,"V",1.7353,1.75471,1.7433,0.00879303,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE24",180260,"Parametric","",0,3,"V",1.7538,1.77292,1.76155,0.00861945,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE25",180270,"Parametric","",0,3,"V",1.77093,1.79017,1.77862,0.00876387,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE26",180280,"Parametric","",0,3,"V",1.78784,1.80753,1.79586,0.00888586,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE27",180290,"Parametric","",0,3,"V",1.80514,1.82466,1.81293,0.00908627,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE28",180300,"Parametric","",0,3,"V",1.82244,1.84282,1.83087,0.00923537,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE29",180310,"Parametric","",0,3,"V",1.83934,1.85989,1.84787,0.00925327,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE30",180320,"Parametric","",0,3,"V",1.85648,1.87708,1.86507,0.00934059,2.14169,***
"Vreftrim","VBIAS_VALUE_CODE31",180330,"Parametric","",0,3,"V",1.87338,1.8945,1.88223,0.00943299,2.14169,***
"Vreftrim","VREF_TRIM_CODE",180010,"Parametric","",0,31,"Code",26,27,26.5,0.547723,2.14169,***
"Vreftrim","VBIAS_BEST_FIT_VALUE",180340,"Parametric","",0,3,"V",1.79472,1.80753,1.80429,0.0047581,2.14169,***
"SS_Current_Trim","SS_CURRENT_CODE0",220040,"Parametric","",-20,20,"uA",-10.517,-10.231,-10.3478,0.125904,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE1",220050,"Parametric","",-20,20,"uA",-10.672,-10.378,-10.4955,0.128266,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE2",220060,"Parametric","",-20,20,"uA",-10.812,-10.515,-10.635,0.128572,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE3",220070,"Parametric","",-20,20,"uA",-10.951,-10.652,-10.772,0.130131,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE4",220080,"Parametric","",-20,20,"uA",-11.113,-10.809,-10.9287,0.131695,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE5",220090,"Parametric","",-20,20,"uA",-11.255,-10.951,-11.073,0.132002,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE6",220100,"Parametric","",-20,20,"uA",-11.415,-11.111,-11.231,0.133538,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE7",220110,"Parametric","",-20,20,"uA",-11.595,-11.283,-11.4045,0.135444,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE8",220120,"Parametric","",-20,20,"uA",-11.762,-11.443,-11.5722,0.137319,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE9",220130,"Parametric","",-20,20,"uA",-11.922,-11.6,-11.7335,0.139342,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE10",220140,"Parametric","",-20,20,"uA",-12.105,-11.783,-11.9122,0.139753,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE11",220150,"Parametric","",-20,20,"uA",-12.3,-11.97,-12.105,0.142068,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE12",220160,"Parametric","",-20,20,"uA",-12.482,-12.153,-12.2848,0.142508,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE13",220170,"Parametric","",-20,20,"uA",-12.693,-12.361,-12.4928,0.144381,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE14",220180,"Parametric","",-20,20,"uA",-12.898,-12.561,-12.6937,0.145816,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE15",220190,"Parametric","",-20,20,"uA",-13.104,-12.756,-12.8923,0.149235,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE16",220200,"Parametric","",-20,20,"uA",-8.717,-8.464,-8.5705,0.109632,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE17",220210,"Parametric","",-20,20,"uA",-8.801,-8.55,-8.65733,0.111166,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE18",220220,"Parametric","",-20,20,"uA",-8.9,-8.641,-8.75267,0.111692,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE19",220230,"Parametric","",-20,20,"uA",-9.014,-8.748,-8.85717,0.114913,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE20",220240,"Parametric","",-20,20,"uA",-9.103,-8.839,-8.9485,0.114469,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE21",220250,"Parametric","",-20,20,"uA",-9.207,-8.951,-9.0575,0.11411,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE22",220260,"Parametric","",-20,20,"uA",-9.316,-9.052,-9.1615,0.116595,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE23",220270,"Parametric","",-20,20,"uA",-9.415,-9.146,-9.25933,0.118071,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE24",220280,"Parametric","",-20,20,"uA",-9.526,-9.252,-9.36983,0.118356,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE25",220290,"Parametric","",-20,20,"uA",-9.648,-9.374,-9.4885,0.118461,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE26",220300,"Parametric","",-20,20,"uA",-9.764,-9.488,-9.60317,0.118901,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE27",220310,"Parametric","",-20,20,"uA",-9.879,-9.59,-9.71217,0.123443,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE28",220320,"Parametric","",-20,20,"uA",-10.008,-9.726,-9.842,0.122879,2.45094,***
